"id","year","active_year","type_of_violence","conflict_new_id","conflict_name","dyad_new_id","dyad_name","side_a_new_id","gwnoa","side_a","side_b_new_id","gwnob","side_b","number_of_sources","source_article","source_office","source_date","source_headline","source_original","where_prec","where_coordinates","adm_1","adm_2","latitude","longitude","geom_wkt","priogrid_gid","country","country_id","region","event_clarity","date_prec","date_start","date_end","deaths_a","deaths_b","deaths_civilians","deaths_unknown","low","best","high"
49398,1994,0,1,224,"Myanmar (Burma):Mon",445,"Government of Myanmar (Burma) - NMSP",144,"775","Government of Myanmar (Burma)",190,NA,"NMSP",-1,"Bangkok Post 21/1 1995","",NA,"","Mon source",4,"Mon State","Mon State","",16.25,97.75,"POINT (97.750000 16.250000)",153196,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-14","1994-12-14",5,0,0,1,6,6,6
60492,1994,1,2,4805,"MQM - MQM-H",5415,"MQM - MQM-H",354,"","MQM",832,NA,"MQM-H",-1,"R 15/12 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-12-14","1994-12-14",0,0,0,3,3,3,3
51400,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Bago Division","Bago Division","",18.25,96.25,"POINT (96.250000 18.250000)",156073,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-18","1994-12-18",0,0,1,0,1,1,1
51372,1994,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 20/12 1994","",NA,"","government source",1,"Kaw Moo Ra","Kayin State","Myawaddy District",16.796917,98.515339,"POINT (98.515339 16.796917)",153918,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-20","1994-12-20",2,0,0,0,2,2,2
48576,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",4,"Bago Division","Bago Division","",18.25,96.25,"POINT (96.250000 18.250000)",156073,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-22","1994-12-22",0,0,1,0,1,1,1
53301,1994,0,1,218,"Government of India-Government of Pakistan",422,"Government of India - Government of Pakistan",141,"750","Government of India",142,770,"Government of Pakistan",-1,"R 22/12 1994","",NA,"","Police",1,"Karachi Town","Sindh Province","Karachi District",24.86,67.01,"POINT (67.010000 24.860000)",165375,"Pakistan",770,"Asia",1,1,"1994-12-22","1994-12-22",4,0,0,0,4,4,4
49692,1994,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights Yearbook 1994","",NA,"","",6,"Myanmar (Burma)","","",22,98,"POINT (98.000000 22.000000)",161837,"Myanmar (Burma)",775,"Asia",1,1,"1994-12-29","1994-12-29",0,0,10,0,10,10,10
49326,1995,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights yearbook 1995","",NA,"","",3,"Mindat District","Chin State","Mindat District",21.3,92.85,"POINT (92.850000 21.300000)",160386,"Myanmar (Burma)",775,"Asia",2,5,"1995-01-01","1995-12-31",0,0,5,0,5,5,5
50423,1995,1,3,488,"Government of Myanmar (Burma) - Civilians",955,"Government of Myanmar (Burma) - Civilians",144,"775","Government of Myanmar (Burma)",1,NA,"Civilians",-1,"Burma Human Rights yearbook 1995","",NA,"","",3,"Sittwe District","Rakhine State","Sittwe District",20.501243,93.334704,"POINT (93.334704 20.501243)",159667,"Myanmar (Burma)",775,"Asia",2,5,"1995-01-01","1995-12-31",0,0,5,0,5,5,5
49217,1995,1,1,221,"Myanmar (Burma):Karen",428,"Government of Myanmar (Burma) - KNU",144,"775","Government of Myanmar (Burma)",180,NA,"KNU",-1,"R 28/1 1995","",NA,"","KNU leader Bo Mya",1,"Manerplaw base","Kayin State","Kawkareik District",17.836972,97.678028,"POINT (97.678028 17.836972)",155356,"Myanmar (Burma)",775,"Asia",1,1,"1995-01-21","1995-01-21",0,15,0,0,15,15,15
